N0000171648	C0032046	M0016938	D010923	Placenta Previa
N0000002192	C0028326	M0014957	D009634	Noonan Syndrome
N0000002937	C0040100	M0021459	D013945	Thymoma
N0000000504	C0004144	M0001899	D001261	Pulmonary Atelectasis
N0000003368	C0079588	M0024615	D016114	Ichthyosis, X-Linked
N0000002965	C0040411	M0021659	D014062	Tongue Neoplasms
N0000001185	C0015411	M0008092	D005132	Eye Manifestations
N0000001383	C0018128	M0009575	D006083	Graft Occlusion, Vascular
N0000001431	C0018798	M0009950	D006330	Heart Defects, Congenital
N0000001961	C0025062	M0013198	D008478	Mediastinal Emphysema
N0000004233	C0270733	M0029075	D020955	Striatonigral Degeneration
N0000002535	C0034013	M0018083	D011629	Puberty, Precocious
N0000001989	C0025303	M0013373	D008589	Meningococcal Infections
N0000003572	C0162809	M0026453	D017436	Kallmann Syndrome
N0000010981	C1258218	M0449407	D045824	Desulfovibrionaceae Infections
N0000181198	C1260327	M0507423	D054752	Langerhans Cell Sarcoma
N0000002844	C0038506	M0020643	D013342	Stuttering
N0000185623	C1527287	M0006506	D063485	Acanthocheilonemiasis
N0000001432	C0018799	M0009951	D006331	Heart Diseases
N0000003376	C0079541	M0024659	D016142	Holoprosencephaly
N0000011002	C0949885	M0383698	D029021	Peste-des-Petits-Ruminants
N0000000646	C0006705	M0003174	D002128	Calcium Metabolism Disorders
N0000002312	C1456784	M0015897	D010259	Paranoid Disorders
N0000011120	C0950112	M0386706	D030243	Hemorrhagic Syndrome, Bovine
N0000003275	C0020102	M0023853	D015491	HTLV-II Infections
N0000000369	C0002514	M0000918	D000592	Amino Acid Metabolism, Inborn Errors
N0000003380	C0080107	M0024667	D016156	Respiratory Tract Fistula
N0000003190	C0014863	M0023299	D015155	Esophageal Spasm, Diffuse
N0000002475	C0032916	M0017445	D011227	Pre-Excitation, Mahaim-Type
N0000181041	C0085628	M0337409	D053608	Stupor
N0000001233	C0015929	M0008397	D005315	Fetal Diseases
N0000181132	C0342731	M0501212	D054078	Mevalonate Kinase Deficiency
N0000002329	C0030569	M0015968	D010302	Parkinson Disease, Secondary
N0000000900	C0270972	M0005689	D003635	De Lange Syndrome
N0000000525	C0004659	M0002143	D001437	Bacteriuria
N0000002305	C0030443	M0015880	D010245	Paralyses, Familial Periodic
N0000004047	C0273483	M0328369	D020209	Cranial Nerve Injuries
N0000002406	C0032001	M0016907	D010899	Pituitary Apoplexy
N0000000765	C0008412	M0004290	D002796	Choline Deficiency
N0000001089	C0014077	M0007374	D004684	Leukoencephalitis, Acute Hemorrhagic
N0000010208	C0021294			Preterm Infant
N0000000744	C0007971	M0004001	D002613	Cheilitis
N0000002640	C0035469	M0019027	D012227	Rhinosporidiosis
N0000000884	C0010495	M0005430	D003483	Cutis Laxa
N0000000817	C0009400	M0004832	D003121	Colorado Tick Fever
N0000000810	C0009363	M0004804	D003103	Coloboma
N0000002327	C0030567	M0015963	D010300	Parkinson Disease
N0000001180	C0015395	M0008086	D005126	Eye Burns
N0000001842	C0023569	M0012433	D007979	Levocardia
N0000004200	C0338395	M0328123	D020814	Meningitis, Escherichia coli
N0000002944	C0040147	M0021487	D013966	Thyroiditis
N0000001451	C0018916	M0010031	D006391	Hemangioma
N0000000578	C0005830	M0002708	D001796	Blood Protein Disorders
N0000001504	C0019189	M0010227	D006521	Hepatitis, Chronic
N0000003308	C0018193	M0024134	D015745	Granuloma, Foreign-Body
N0000000327	C0001624	M0000485	D000310	Adrenal Gland Neoplasms
N0000003534	C0162557	M0026001	D017114	Liver Failure, Acute
N0000001023	C0476254	M0006921	D004410	Dyslexia
N0000003843	C0242875	M0027957	D018658	Ventricular Septal Rupture
N0000004084	C0751859	M0328619	D020263	Lead Poisoning, Nervous System
N0000003092	C0042135	M0022430	D014593	Uterine Inertia
N0000000655	C0024809	M0003278	D002189	Marijuana Abuse
N0000002920	C0039743	M0021271	D013796	Thanatophoric Dysplasia
N0000002772	C0037315	M0019963	D012891	Sleep Apnea Syndromes
N0000181298	C2717961	M0533992	D057049	Thrombotic Microangiopathies
N0000001590	C0020461	M0010828	D006947	Hyperkalemia
N0000181064	C0221011	M0508347	D054853	Malignant Atrophic Papulosis
N0000001252	C0016064	M0008456	D005358	Fibrous Dysplasia, Monostotic
N0000171672	C0019343	M0010277	D006559	Pemphigoid Gestationis
N0000002578	C0034882	M0018654	D012002	Rectal Diseases
N0000003425	C0085110	M0025203	D016511	Severe Combined Immunodeficiency
N0000003560	C0162671	M0026161	D017241	MELAS Syndrome
N0000001694	C0021775	M0011515	D007383	Intermittent Claudication
N0000000946	C0011633	M0006061	D003882	Dermatomyositis
N0000004007	C0398625	M0029882	D020151	Protein C Deficiency
N0000010204	C0021289			Neonate
N0000002227	C0029132	M0015358	D009901	Optic Nerve Diseases
N0000181033	C0034216	M0018196	D053018	Pyonephrosis
N0000002680	C0036231	M0019448	D012523	Sarcocystosis
N0000001743	C0022596	M0011974	D007645	Keratoderma, Palmoplantar
N0000002386	C0031347	M0016481	D010610	Pharyngeal Neoplasms
N0000002444	C0032326	M0017083	D011030	Pneumothorax
N0000181082	C0264939	M0528191	D056647	Systemic Vasculitis
N0000003272	C0023480	M0023835	D015477	Leukemia, Myelomonocytic, Chronic
N0000003414	C0085078	M0025150	D016464	Lysosomal Storage Diseases
N0000011019	C0949664	M0371891	D024801	Tauopathies
N0000004040	C0475072	M0328067	D020202	Cerebral Hemorrhage, Traumatic
N0000001675	C0021171	M0011200	D007184	Incontinentia Pigmenti
N0000181284	C2717757	M0523463	D055955	Susac Syndrome
N0000000292	C1510455	M0000253	D000168	Acrocephalosyndactylia
N0000001529	C0019345	M0010278	D006560	Herpes Labialis
N0000001947	C0024894	M0013095	D008413	Mastitis
N0000002418	C0032197	M0017023	D010981	Platelet Storage Pool Deficiency
N0000001444	C0018834	M0009980	D006356	Heartburn
N0000003261	C0023473	M0023821	D015464	Leukemia, Myelogenous, Chronic, BCR-ABL Positive
N0000001215	C0015668	M0008251	D005218	Fat Necrosis
N0000001199	C0015499	M0008143	D005166	Factor V Deficiency
N0000000392	C0002886	M0001133	D000748	Anemia, Macrocytic
N0000004144	C0206239	M0026855	D020430	Cubital Tunnel Syndrome
N0000002112	C0027439	M0014493	D009303	Nasopharyngeal Neoplasms
N0000002347	C0030807	M0016112	D010392	Pemphigus
N0000001491	C0019104	M0010174	D006482	Hemorrhagic Fevers, Viral
N0000003150	C0043019	M0022866	D014854	Lateral Medullary Syndrome
N0000004219	C0752287	M0328301	D020919	Sleep Disorders, Intrinsic
N0000001785	C0023066	M0012235	D007826	Laryngismus
N0000003756	C0010636	M0027526	D018292	Cystadenoma, Papillary
N0000000526	C0004669	M0002147	D001442	Bacteroides Infections
N0000000356	C0002064	M0000715	D000472	Alkalosis, Respiratory
N0000001279	C0016542	M0008741	D005547	Foreign Bodies
N0000001926	C0024586	M0012930	D008303	Malignant Carcinoid Syndrome
N0000003412	C0085074	M0025146	D016460	Granuloma Annulare
N0000003160	C0043121	M0022921	D014899	Wernicke Encephalopathy
N0000000685	C0007192	M0003462	D002310	Cardiomyopathy, Alcoholic
N0000002341	C0030779	M0016097	D010381	Pelger-Huet Anomaly
N0000002739	C0037019	M0019808	D012791	Shy-Drager Syndrome
N0000010234	C0740394	M0402804	D033461	Hyperuricemia
N0000181043	C0085650	M0018182	D055665	Purpura Fulminans
N0000181191	C1096100	M0534719	D057129	Iridocorneal Endothelial Syndrome
N0000000282	C0001118	M0000212	D000137	Acid-Base Imbalance
N0000001146	C0014742	M0007681	D004892	Erythema Multiforme
N0000004078	C0042907	M0029919	D020255	Vitreous Detachment
N0000000267	C0000773	M0000016	D000016	Abnormalities, Radiation-Induced
N0000002524	C0033845	M0017966	D011559	Pseudotumor Cerebri
N0000181050	C0151814	M0005192	D054059	Coronary Occlusion
N0000001242	C0015967	M0008421	D005334	Fever
N0000003111	C0042373	M0022535	D014652	Vascular Diseases
N0000002248	C0029421	M0015520	D010008	Osteochondritis Dissecans
N0000000713	C0007761	M0003859	D002527	Myoclonic Cerebellar Dyssynergia
N0000001566	C0020255	M0010699	D006849	Hydrocephalus
N0000181139	C0393626	M0337038	D053578	Opsoclonus-Myoclonus Syndrome
N0000000412	C0002989	M0001192	D000796	Angiolymphoid Hyperplasia with Eosinophilia
N0000003142	C0042964	M0022845	D014840	Vomiting, Anticipatory
N0000181266	C1961099	M0502869	D054218	Precursor T-Cell Lymphoblastic Leukemia-Lymphoma
N0000002090	C0027080	M0014353	D009212	Myoglobinuria
N0000003503	C0085412	M0025701	D016890	Encephalitozoonosis
N0000002130	C0027653	M0014589	D009371	Neoplasms by Site
N0000002711	C0036503	M0019582	D012626	Sebaceous Gland Neoplasms
N0000002194	C0028432	M0015012	D009668	Nose Diseases
N0000003906	C0343755	M0028660	D019247	HIV Wasting Syndrome
N0000002184	C0027961	M0014787	D009507	Nevus of Ota
N0000002645	C0035592	M0019106	D012288	Rickettsiaceae Infections
N0000003696	C0079218	M0027451	D018222	Fibromatosis, Aggressive
N0000181115	C0272302	M0519284	D055652	Gray Platelet Syndrome
N0000002956	C0040250	M0021564	D014006	Tinea Capitis
N0000003794	C0206740	M0027568	D018333	Odontogenic Cyst, Calcifying
N0000004143	C0751932	M0328647	D020429	Tibial Neuropathy
N0000003938	C0349788	M0029061	D019571	Arrhythmogenic Right Ventricular Dysplasia
N0000001109	C0014356	M0007478	D004760	Enterocolitis
N0000003094	C0042139	M0022432	D014595	Uterine Perforation
N0000003209	C0043208	M0023386	D015223	Wolman Disease
N0000001843	C0023601	M0012442	D007984	Leydig Cell Tumor
N0000002770	C0037304	M0019949	D012887	Skull Fractures
N0000001868	C0023897	M0012647	D008109	Liver Diseases, Parasitic
N0000183432	C2733158	M0549512	D059345	Cerebral Small Vessel Diseases
N0000002896	C0039254	M0021014	D013622	Taeniasis
N0000004189	C0687720	M0328375	D020790	Diabetes Insipidus, Neurogenic
N0000001665	C0020951	M0011066	D007105	Immune Complex Diseases
N0000000663	C0007095	M0003421	D002276	Carcinoid Tumor
N0000001999	C0025469	M0013464	D008640	Mesenteric Lymphadenitis
N0000001445	C0018835	M0009981	D006357	Heartwater Disease
N0000182164	C0152132	M0542366	D058437	Hypertensive Retinopathy
N0000002973	C0040435	M0021674	D014076	Tooth Diseases
N0000183424	C1321926	M0556741	D061220	Oculomotor Nerve Injuries
N0000003741	C0206694	M0027508	D018277	Carcinoma, Mucoepidermoid
N0000001699	C0021832	M0011570	D007411	Intestinal Diseases, Parasitic
N0000001986	C0025295	M0013370	D008586	Meningitis, Pneumococcal
N0000000602	C0006107	M0002870	D001924	Brain Concussion
N0000002234	C0029191	M0015383	D009920	Orchitis
N0000002754	C0037188	M0019897	D012848	Sinoatrial Block
N0000003627	C0149649	M0026764	D017700	Embolism, Cholesterol
N0000001486	C2718087	M0010158	D006475	Vitamin K Deficiency Bleeding
N0000004059	C0238454	M0328208	D020226	Cavernous Sinus Thrombosis
N0000002085	C0027051	M0014340	D009203	Myocardial Infarction
N0000003714	C0014145	M0027469	D018240	Endodermal Sinus Tumor
N0000003014	C0040954	M0021941	D014257	Trichuriasis
N0000003911	C0376527	M0028724	D019292	Skull Base Neoplasms
N0000002086	C0027059	M0014343	D009205	Myocarditis
N0000010952	C0149520	M0439583	D041881	Cholecystitis, Acute
N0000002693	C0036347	M0019493	D012562	Schizophrenia, Disorganized
N0000003330	C0029002	M0024245	D015827	Onchocerciasis, Ocular
N0000000767	C0553730	M0004305	D002805	Chondrocalcinosis
N0000002280	C0030201	M0015751	D010149	Pain, Postoperative
N0000181142	C0403823	M0495054	D053627	Asthenozoospermia
N0000000923	C0011361	M0005882	D003751	Dental Fistula
N0000002685	C0036323	M0019481	D012552	Schistosomiasis
N0000004015	C0751753	M0328185	D020165	Carbamoyl-Phosphate Synthase I Deficiency Disease
N0000001087	C0014073	M0007371	D004682	Encephalomyelitis, Enzootic Porcine
N0000001065	C0013903	M0007241	D004613	Ellis-Van Creveld Syndrome
N0000181217	C1333991	M0004836	D055847	Lynch Syndrome II
N0000000701	C0007462	M0003692	D002422	Causalgia
N0000001324	C0017412	M0009155	D005832	Genital Diseases, Male
N0000182227	C2751824	M0542825	D058490	46, XY Disorders of Sex Development
N0000004020	C0231311	M0328614	D020179	Jet Lag Syndrome
N0000189369	C0238495	M0583210	D064749	Retrocaval Ureter
N0000001716	C0022353	M0011824	D007567	Jaundice, Neonatal
N0000003137	C0042900	M0022818	D014820	Vitiligo
N0000000689	C0007222	M0003473	D002318	Cardiovascular Diseases
N0000003184	C0043410	M0023099	D015012	Yersinia pseudotuberculosis Infections
N0000001424	C0018780	M0009931	D006316	Hearing Loss, High-Frequency
N0000003730	C0206681	M0027491	D018262	Adenocarcinoma, Clear Cell
N0000000948	C0011813	M0006136	D003914	Dextrocardia
N0000002225	C0029118	M0015350	D009894	Opportunistic Infections
N0000002514	C0033778	M0017937	D011539	Pruritus Vulvae
N0000002496	C0033324	M0017676	D011378	Prognathism
N0000001686	C0021364	M0011306	D007248	Infertility, Male
N0000002602	C0035242	M0018918	D012140	Respiratory Tract Diseases
N0000001223	C0015773	M0008306	D005258	Felty Syndrome
N0000001914	C0024314	M0012826	D008232	Lymphoproliferative Disorders
N0000181032	C0034215	M0513898	D055112	Pyometra
N0000002989	C0040558	M0021732	D014123	Toxoplasmosis
N0000003191	C0020305	M0023300	D015160	Hydrops Fetalis
N0000183398	C0267494	M0549107	D059269	Chilaiditi Syndrome
N0000181251	C1857728	M0529317	D056828	Hereditary Angioedema Type III
N0000003525	C0162529	M0025968	D017091	Colitis, Ischemic
N0000000555	C0005604	M0002583	D001720	Birth Injuries
N0000003036	C0041311	M0022115	D014384	Tuberculosis, Female Genital
N0000001660	C0020875	M0011023	D007077	Ileal Diseases
N0000003551	C0162635	M0026107	D017204	Angelman Syndrome
N0000001992	C0025322	M0013381	D008594	Menopause, Premature
N0000002267	C0029883	M0015564	D010034	Otitis Media with Effusion
N0000002866	C0038981	M0020917	D013540	Swayback
N0000001399	C0018500	M0009750	D006201	Hair Diseases
N0000003083	C0042063	M0022390	D014564	Urogenital Abnormalities
N0000002436	C0032302	M0017072	D011019	Pneumonia, Mycoplasma
N0000003229	C0027888	M0023767	D015417	Hereditary Sensory and Motor Neuropathy
N0000000830	C0009676	M0005001	D003221	Confusion
N0000181246	C1800706	M0511887	D054990	Idiopathic Pulmonary Fibrosis
N0000002768	C0037286	M0019939	D012878	Skin Neoplasms
N0000010935	C1148546	M0356305	D045724	Diverticulosis, Stomach
N0000003463	C0085269	M0025468	D016726	Plasma Cell Granuloma, Pulmonary
N0000003198	C0009404	M0023329	D015179	Colorectal Neoplasms
N0000001712	C0022134	M0011744	D007516	Adenoma, Islet Cell
N0000181157	C0520757	M0515361	D055191	Delayed Emergence from Anesthesia
N0000001801	C0023264	M0012315	D007888	Leigh Disease
N0000000405	C0002950	M0001176	D000785	Aneurysm, Infected
N0000001901	C0024248	M0012802	D008210	Lymphocele
N0000004005	C0677050	M0328121	D020149	Manganese Poisoning
N0000000404	C0002949	M0001175	D000784	Aneurysm, Dissecting
N0000000279	C0000889	M0000078	D000052	Acanthosis Nigricans
N0000003994	C0043541	M0029826	D020096	Zygomycosis
N0000002795	C0037930	M0020313	D013120	Spinal Cord Neoplasms
N0000001973	C0025229	M0013324	D008554	Melioidosis
N0000003048	C0041326	M0022130	D014396	Tuberculosis, Pleural
N0000003896	C0238124	M0028525	D019115	Fasciitis, Necrotizing
N0000002491	C0033075	M0017556	D011305	Presbyopia
N0000001776	C0022927	M0012159	D007775	Lactation Disorders
N0000181178	C0860207	M0527454	D056486	Drug-Induced Liver Injury
N0000003640	C0206306	M0026930	D017823	Furcation Defects
N0000003451	C0085209	M0025363	D016643	Encephalopathy, Bovine Spongiform
N0000002131	C0027656	M0014590	D009372	Neoplasms, Connective Tissue
N0000011145	C0949116	M0384816	D029502	Anemia, Hypoplastic, Congenital
N0000002557	C0034155	M0018188	D011697	Purpura, Thrombotic Thrombocytopenic
N0000000291	C0001175	M0000245	D000163	Acquired Immunodeficiency Syndrome
N0000000958	C0011882	M0006162	D003929	Diabetic Neuropathies
N0000001604	C0020502	M0010845	D006961	Hyperparathyroidism
N0000183447	C3179000	M0555324	D060751	Bone Retroversion
N0000011011	C0751194	M0335258	D046649	Hematoma, Subdural, Spinal
N0000002108	C0027404	M0014471	D009290	Narcolepsy
N0000004067	C0751840	M0328093	D020237	Alexia, Pure
N0000002883	C0039131	M0020973	D013590	Syphilis, Congenital
N0000002076	C0026948	M0014314	D009182	Mycosis Fungoides
N0000001834	C0023522	M0012416	D007966	Leukodystrophy, Metachromatic
N0000171660	C0887866	M0356225	D050380	Monckeberg Medial Calcific Sclerosis
N0000000962	C0011989	M0006211	D003966	Camurati-Engelmann Syndrome
N0000002825	C0038353	M0020541	D013271	Gastric Dilatation
N0000001414	C0018609	M0009808	D006250	Hartnup Disease
N0000003748	C0206701	M0027515	D018284	Cystadenocarcinoma, Serous
N0000183419	C0869474	M0555022	D060705	Dyscalculia
N0000002448	C0032357	M0017104	D011045	Poland Syndrome
N0000002017	C0026113	M0013866	D008883	Miliaria
N0000002912	C0039584	M0021188	D013733	Testicular Diseases
N0000002857	C0038732	M0020766	D013436	Sulfhemoglobinemia
N0000011093	C0267963	M0015801	D010188	Exocrine Pancreatic Insufficiency
N0000001826	C0023470	M0012396	D007951	Leukemia, Myeloid
N0000001407	C0018564	M0009779	D006226	Hand Deformities
N0000002782	C0037661	M0020155	D013005	Somatostatinoma
N0000001577	C0020437	M0010814	D006934	Hypercalcemia
N0000181067	C0221065	M0490112	D052879	Subacute Combined Degeneration
N0000002668	C0036130	M0019403	D012488	Salpingitis
N0000000272	C0000817	M0000050	D000031	Abortion, Septic
N0000002874	C0039075	M0020956	D013576	Syndactyly
N0000002033	C0026633	M0014127	D009056	Mouth Abnormalities
N0000181204	C1266146	M0516689	D055331	Adenomyoepithelioma
N0000003806	C0151436	M0027595	D018366	Vasculitis, Leukocytoclastic, Cutaneous
N0000182218	C1610620	M0544066	D058686	Coronary-Subclavian Steal Syndrome
N0000003214	C0008728	M0023506	D015267	Churg-Strauss Syndrome
N0000181100	C0268425	M0529107	D056769	Alstrom Syndrome
N0000001058	C0013608	M0007053	D004489	Edema, Cardiac
N0000002759	C0037268	M0019926	D012868	Skin Abnormalities
N0000000303	C0001349	M0000325	D000210	Acute-Phase Reaction
N0000001327	C0017455	M0009187	D005847	Geotrichosis
N0000171651	C0022681	M0012032	D007691	Medullary Sponge Kidney
N0000011048	C1257878	M0444628	D044225	Piscirickettsiaceae Infections
N0000002462	C0032633	M0017279	D011146	Eczema, Dyshidrotic
N0000003649	C0206526	M0027284	D018088	Tuberculosis, Multidrug-Resistant
N0000002487	C0032994	M0017503	D011274	Pregnancy, Tubal
N0000001010	C0013299	M0006887	D004383	Duodenogastric Reflux
N0000000656	C0006895	M0003286	D002194	Capgras Syndrome
N0000003562	C0162674	M0026169	D017246	Ophthalmoplegia, Chronic Progressive External
N0000002611	C0035321	M0018949	D012167	Retinal Perforations
N0000001373	C0018023	M0009518	D006044	Goiter, Nodular
N0000003213	C0007129	M0023505	D015266	Carcinoma, Merkel Cell
N0000003121	C0042571	M0022633	D014717	Vertigo
N0000001634	C0020607	M0010897	D007000	Hypodermyiasis
N0000003288	C0029944	M0568790	D062787	Drug Overdose
N0000003440	C0085164	M0025292	D016582	Leukemia, Feline
N0000002129	C0027652	M0014588	D009370	Neoplasms by Histologic Type
N0000000968	C0012118	M0006310	D004022	Dictyocaulus Infections
N0000011055	C0035828	M0012685	D029597	Romano-Ward Syndrome
N0000002502	C0033586	M0017837	D011475	Prosthesis Failure
N0000181090	C0266463	M0501372	D054082	Lissencephaly
N0000001017	C0013370	M0006914	D004404	Dysentery, Amebic
N0000004135	C0152179	M0328657	D020421	Vagus Nerve Diseases
N0000002156	C0027743	M0014642	D009408	Nerve Compression Syndromes
N0000002541	C0034065	M0018126	D011655	Pulmonary Embolism
N0000002634	C0035455	M0019019	D012220	Rhinitis
N0000001881	C0600260	M0012746	D008173	Lung Diseases, Obstructive
N0000182171	C0221259	M0542465	D058457	Trichiasis
N0000181130	C0340293	M0533756	D056988	Anterior Wall Myocardial Infarction
N0000003258	C2363142	M0023818	D015461	Leukemia, Prolymphocytic, T-Cell
N0000002530	C0033936	M0018039	D011604	Psychoses, Alcoholic
N0000181255	C1955603	M0500706	D054062	Deaf-Blind Disorders
N0000000796	C0009062	M0004637	D003015	Clostridium Infections
